table,outcome,engagement_tier,variable,variable_label,irr,beta,se,z,p,sig,pct_change,nobs,subset
robust_drop_top5pct_follower,like,low_cost,rep_z,图文代表性,0.8842861052886791,-0.12297462019077166,0.060593572119717554,-2.0294994318507076,0.042407446796378395,*,-11.571389471132088,3158,drop_top5pct_follower
robust_drop_top5pct_follower,like,low_cost,auth_z,权威线索,0.7961495594463867,-0.2279682220348929,0.08609222453179938,-2.6479536714803973,0.008098062205699837,**,-20.385044055361334,3158,drop_top5pct_follower
robust_drop_top5pct_follower,like,low_cost,clip_sim_z,CLIP图文相似度,0.8417061489541859,-0.17232431739247195,0.07606019938140585,-2.265630629343307,0.02347400811770984,*,-15.829385104581405,3158,drop_top5pct_follower
robust_drop_top5pct_follower,coin,high_cost,emotion_z,情感强度,1.10210943435881,0.09722601102606568,0.07199265729041918,1.3504989909436858,0.1768559771247311,,10.210943435881003,3158,drop_top5pct_follower
robust_drop_top5pct_follower,coin,high_cost,fear_z,恐惧诉求,0.9046401574856383,-0.10021803039039685,0.07834083214626854,-1.2792566487330879,0.20080669311974453,,-9.535984251436169,3158,drop_top5pct_follower
robust_drop_top5pct_follower,coin,high_cost,text_z,文字覆盖强度,1.0273405680879881,0.026973490471067105,0.08391236084325232,0.32144835635662056,0.7478706427879058,,2.7340568087988126,3158,drop_top5pct_follower
robust_drop_top5pct_follower,coin,high_cost,suspense_z,视觉悬念,1.0109077815700651,0.010848720813758915,0.03262282533515864,0.3325500076189572,0.7394739854699692,,1.0907781570065112,3158,drop_top5pct_follower
robust_drop_top5pct_follower,coin,high_cost,info_gap_z,信息缺口,0.9912825551055835,-0.008755664095122118,0.06513361894430095,-0.1344261878433245,0.8930655746615123,,-0.8717444894416504,3158,drop_top5pct_follower
robust_drop_top5pct_follower,coin,high_cost,rep_z,图文代表性,0.9216259602864615,-0.08161582072363267,0.08094890303071842,-1.008238748987879,0.3133398597971708,,-7.837403971353851,3158,drop_top5pct_follower
robust_drop_top5pct_follower,coin,high_cost,auth_z,权威线索,0.9149821133446597,-0.08885076215488787,0.08498242490618911,-1.0455192618117093,0.2957830429305789,,-8.501788665534027,3158,drop_top5pct_follower
robust_drop_top5pct_follower,coin,high_cost,clip_sim_z,CLIP图文相似度,0.8928562341358368,-0.11332970307538393,0.07270421545731548,-1.5587776081831128,0.11904902574055214,,-10.714376586416318,3158,drop_top5pct_follower
robust_drop_top5pct_follower,favorites,high_cost,emotion_z,情感强度,1.0445722618902311,0.04360748285765298,0.06950367317689543,0.6274126368352727,0.5303887864037389,,4.457226189023111,3158,drop_top5pct_follower
robust_drop_top5pct_follower,favorites,high_cost,fear_z,恐惧诉求,0.8808924448982237,-0.1268197434746001,0.07052505714799114,-1.7982224843643744,0.07214175784481254,+,-11.910755510177628,3158,drop_top5pct_follower
robust_drop_top5pct_follower,favorites,high_cost,text_z,文字覆盖强度,1.0501499966630217,0.04893300793155863,0.06535620752226974,0.7487124756265118,0.45403052262815125,,5.014999666302167,3158,drop_top5pct_follower
robust_drop_top5pct_follower,favorites,high_cost,suspense_z,视觉悬念,1.0401039469602955,0.03932065715899698,0.03211919937806128,1.2242103763599597,0.22087287582005544,,4.010394696029551,3158,drop_top5pct_follower
robust_drop_top5pct_follower,favorites,high_cost,info_gap_z,信息缺口,0.975391534869523,-0.024916314368487465,0.0639772140693495,-0.38945607011707134,0.6969388014442202,,-2.4608465130476986,3158,drop_top5pct_follower
robust_drop_top5pct_follower,favorites,high_cost,rep_z,图文代表性,0.894652590367592,-0.1113198032507135,0.065460961025005,-1.700552535551551,0.08902704340110637,+,-10.534740963240797,3158,drop_top5pct_follower
robust_drop_top5pct_follower,favorites,high_cost,auth_z,权威线索,0.774042810965551,-0.25612809559702354,0.07655325643817497,-3.3457504946752286,0.0008206020012486371,***,-22.595718903444894,3158,drop_top5pct_follower
robust_drop_top5pct_follower,favorites,high_cost,clip_sim_z,CLIP图文相似度,0.873795908038177,-0.13490844542589597,0.06797044021433563,-1.9848105294077891,0.0471655555734438,*,-12.620409196182303,3158,drop_top5pct_follower
robust_drop_top5pct_follower,share,diffusion,emotion_z,情感强度,1.0265625284603521,0.026215869854827684,0.06445318393800178,0.40674282096048214,0.6841968865308492,,2.656252846035212,3158,drop_top5pct_follower
robust_drop_top5pct_follower,share,diffusion,fear_z,恐惧诉求,0.9118594951944821,-0.09226936306337089,0.07163073726307018,-1.28812527399381,0.19770235873005382,,-8.814050480551794,3158,drop_top5pct_follower
robust_drop_top5pct_follower,share,diffusion,text_z,文字覆盖强度,0.9503443596515322,-0.050930876225229085,0.06902302595657145,-0.7378824025662719,0.46058591337495114,,-4.965564034846781,3158,drop_top5pct_follower
robust_drop_top5pct_follower,share,diffusion,suspense_z,视觉悬念,1.1009209958004231,0.09614709839971147,0.05263688986673438,1.8266105509488852,0.06775834585759147,+,10.092099580042312,3158,drop_top5pct_follower
robust_drop_top5pct_follower,share,diffusion,info_gap_z,信息缺口,0.9908943849576878,-0.00914732454178778,0.05854693448668283,-0.15623917156360156,0.8758445014071335,,-0.9105615042312221,3158,drop_top5pct_follower
robust_drop_top5pct_follower,share,diffusion,rep_z,图文代表性,0.9896754845976214,-0.010378182925216051,0.06309393576808325,-0.16448780376236993,0.8693471471693838,,-1.0324515402378553,3158,drop_top5pct_follower
robust_drop_top5pct_follower,share,diffusion,auth_z,权威线索,0.852417043033137,-0.15967938478447155,0.07252630130117023,-2.201675556587291,0.02768823454607259,*,-14.758295696686297,3158,drop_top5pct_follower
robust_drop_top5pct_follower,share,diffusion,clip_sim_z,CLIP图文相似度,0.86219040787035,-0.14827914191035493,0.07307197351728453,-2.0292204353188956,0.04243584304763402,*,-13.780959212965005,3158,drop_top5pct_follower
robust_science_only,play,exposure,emotion_z,情感强度,1.1718359482304868,0.1585717054447245,0.051483395834700574,3.080055285277915,0.0020696217410808397,**,17.183594823048676,2773,science_only
robust_science_only,play,exposure,fear_z,恐惧诉求,1.039083652827951,0.03833922170377843,0.058259920453393496,0.6580719885199443,0.5104918743016695,,3.908365282795101,2773,science_only
robust_science_only,play,exposure,text_z,文字覆盖强度,1.0427439580658613,0.041855659847357785,0.07553064997307968,0.5541546360619934,0.5794730212222434,,4.274395806586129,2773,science_only
robust_science_only,play,exposure,suspense_z,视觉悬念,1.0790237692028197,0.07605671495164054,0.027295675268867566,2.7864016626248485,0.005329678625306845,**,7.902376920281973,2773,science_only
robust_science_only,play,exposure,info_gap_z,信息缺口,0.980744225861158,-0.01944358138249773,0.04849610877122757,-0.4009307524902592,0.6884711077751161,,-1.9255774138842052,2773,science_only
robust_science_only,play,exposure,rep_z,图文代表性,0.8926695964752134,-0.11353875931876434,0.052759018637776364,-2.152025610981866,0.03139533728550684,*,-10.733040352478662,2773,science_only
robust_science_only,play,exposure,auth_z,权威线索,0.7362309124738421,-0.3062114696850502,0.06385647897948402,-4.795307767962444,1.6242526321650014e-06,***,-26.37690875261579,2773,science_only
robust_science_only,play,exposure,clip_sim_z,CLIP图文相似度,0.8554680683976048,-0.15610651142234325,0.06392686108297034,-2.44195489623264,0.014607971564865966,*,-14.453193160239518,2773,science_only
robust_science_only,like,low_cost,emotion_z,情感强度,1.098719307798985,0.094145235883282,0.05950587682712748,1.5821166060082854,0.11362295335193075,,9.871930779898497,2773,science_only
robust_science_only,like,low_cost,fear_z,恐惧诉求,0.9457437066186042,-0.055783669872736405,0.06642844607420882,-0.8397557547924441,0.40104534583328366,,-5.425629338139581,2773,science_only
robust_science_only,like,low_cost,text_z,文字覆盖强度,1.0041038241081794,0.004095426389357903,0.08704391511913477,0.047050116986955354,0.9624732841489803,,0.41038241081794435,2773,science_only
robust_science_only,like,low_cost,suspense_z,视觉悬念,1.0810321726430974,0.07791630014120346,0.03558524110658334,2.1895678578608475,0.028555592218455498,*,8.103217264309738,2773,science_only
robust_science_only,like,low_cost,info_gap_z,信息缺口,0.976760129546281,-0.02351417443650787,0.046201890898515396,-0.5089439843091671,0.6107914883572654,,-2.3239870453719003,2773,science_only
robust_science_only,like,low_cost,rep_z,图文代表性,0.8980051056680836,-0.10757952509689828,0.061850819940997365,-1.7393387056068754,0.08197520287901693,+,-10.199489433191644,2773,science_only
robust_science_only,like,low_cost,auth_z,权威线索,0.7958161386169302,-0.22838710145514327,0.08706442648649847,-2.6231965301070517,0.008710900866336718,**,-20.41838613830698,2773,science_only
robust_science_only,like,low_cost,clip_sim_z,CLIP图文相似度,0.8038927903726346,-0.218289364002115,0.08799257734022485,-2.480770203583142,0.013109885960714489,*,-19.61072096273654,2773,science_only
robust_science_only,coin,high_cost,emotion_z,情感强度,1.0588937788708626,0.057224758350473005,0.06910425222091378,0.8280931565185861,0.40761774486319846,,5.889377887086256,2773,science_only
robust_science_only,coin,high_cost,fear_z,恐惧诉求,0.8761713208225148,-0.1321936354522009,0.08307841633193694,-1.5911910853479174,0.11156657851150208,,-12.38286791774852,2773,science_only
robust_science_only,coin,high_cost,text_z,文字覆盖强度,1.0815804256184014,0.07842332852667576,0.08716859166379928,0.8996741490231579,0.3682936843975064,,8.15804256184014,2773,science_only
robust_science_only,coin,high_cost,suspense_z,视觉悬念,1.0347328928921093,0.03414331891000046,0.03196963841614684,1.0679920262331077,0.28552410864396016,,3.4732892892109346,2773,science_only
robust_science_only,coin,high_cost,info_gap_z,信息缺口,0.9917728324415552,-0.00826119747654978,0.058199339253652574,-0.14194658534772472,0.8871221970495522,,-0.822716755844477,2773,science_only
robust_science_only,coin,high_cost,rep_z,图文代表性,0.9166261494115521,-0.0870555786084501,0.0780710843995888,-1.1150809454993125,0.2648157360399571,,-8.337385058844793,2773,science_only
robust_science_only,coin,high_cost,auth_z,权威线索,0.9407368790455526,-0.06109179693984146,0.08577360718673122,-0.7122446979155621,0.4763132626350226,,-5.926312095444741,2773,science_only
robust_science_only,coin,high_cost,clip_sim_z,CLIP图文相似度,0.8859398793501381,-0.12110618694334903,0.08002649704039899,-1.513326103505595,0.1301968452578688,,-11.406012064986193,2773,science_only
robust_science_only,favorites,high_cost,emotion_z,情感强度,1.04302132008818,0.04212161692973761,0.0688704054437799,0.6116069254757359,0.5407978549503636,,4.302132008817994,2773,science_only
robust_science_only,favorites,high_cost,fear_z,恐惧诉求,0.8564231759209083,-0.15499066060462857,0.07461936108449281,-2.0770837266903146,0.03779383226459596,*,-14.357682407909166,2773,science_only
robust_science_only,favorites,high_cost,text_z,文字覆盖强度,1.0577320229122338,0.056127014881302846,0.0700714982215287,0.8009963580892643,0.423133754225429,,5.773202291223378,2773,science_only
robust_science_only,favorites,high_cost,suspense_z,视觉悬念,1.04634628816067,0.04530437028167762,0.03149752154551738,1.4383471479242527,0.15033558058996102,,4.634628816066999,2773,science_only
robust_science_only,favorites,high_cost,info_gap_z,信息缺口,1.0299131777774764,0.029474505268728482,0.06554868574128764,0.4496582187026697,0.6529569022695607,,2.9913177777476374,2773,science_only
robust_science_only,favorites,high_cost,rep_z,图文代表性,0.914607610866931,-0.08926014626762448,0.06725820657446323,-1.327126469969168,0.18446685051820888,,-8.539238913306901,2773,science_only
robust_science_only,favorites,high_cost,auth_z,权威线索,0.7918311095487839,-0.23340715542698212,0.08191908032478386,-2.849240427280126,0.004382374950112353,**,-20.816889045121613,2773,science_only
robust_science_only,favorites,high_cost,clip_sim_z,CLIP图文相似度,0.8775699276822772,-0.13059863715075629,0.07392115695629285,-1.7667288030675028,0.07727365722545727,+,-12.243007231772285,2773,science_only
robust_science_only,share,diffusion,emotion_z,情感强度,1.00812288273584,0.008090069695096149,0.06474877372541454,0.12494552760804975,0.9005666749378354,,0.8122882735839942,2773,science_only
robust_science_only,share,diffusion,fear_z,恐惧诉求,0.8874611666945631,-0.11939051442699275,0.08522075493400345,-1.4009558413258718,0.16122727854139962,,-11.25388333054369,2773,science_only
robust_science_only,share,diffusion,text_z,文字覆盖强度,0.9999735679999133,-2.6432349418167855e-05,0.07587455568391231,-0.00034836908341556597,0.9997220416925039,,-0.002643200008667357,2773,science_only
robust_science_only,share,diffusion,suspense_z,视觉悬念,1.1080348539636578,0.10258804447624262,0.05218599367990284,1.9658156766256982,0.04931990627597877,*,10.803485396365776,2773,science_only
robust_science_only,share,diffusion,info_gap_z,信息缺口,1.0279799102773906,0.027595624310294317,0.05745490058442495,0.48030061891317627,0.6310136488527294,,2.797991027739055,2773,science_only
robust_science_only,share,diffusion,rep_z,图文代表性,1.0271322929299995,0.0267707375774621,0.06305011066636601,0.4245946167980782,0.6711322179531729,,2.7132292929999524,2773,science_only
robust_science_only,share,diffusion,auth_z,权威线索,0.8011567625063553,-0.2216986425648651,0.07653236997892833,-2.8967957300408367,0.0037699513653858922,**,-19.884323749364473,2773,science_only
robust_science_only,share,diffusion,clip_sim_z,CLIP图文相似度,0.7798591281734706,-0.24864198051533654,0.07684402981796493,-3.235670761988174,0.0012135727250049467,**,-22.014087182652943,2773,science_only
